other_title,chosen_title,own_title,rate_creative,rate_unique,rate_novel,rate_accurate,rate_practical,rate_similar,gender,age,attention,ID,final_score,is_distracted,feedback,user_batch,bank_position,similarity,sim_type,isSlider,use_table,show_score
"['Sputnik Fractal', 'Splinters In The Dark', 'Space Billiards']",Nebulous Serenity 7,,5,6,6,5,6,3,Female,22,Gold,66b540d8ae2e469a6c537b56,,FALSE,,COM6LC8F,corner,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",different,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System', 'The Space Sundial', 'Solar Night The Vibrant Atmosphericsthe Dark Light Space', 'Sunburst In A Blue Sky', 'Colourful Celestial Orbit', 'Planetary Parade', 'Dance Of The Celestials', 'Stars On Their Appointed Path', 'Pathways Through The Galaxy', 'Intergalactic Meeting']",Galaxy Divided,,7,7,6,6,5,3,Male,43,Gold,5ea38a4693216f1a0310f906,,TRUE,all worked fine,COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System', 'The Space Sundial', 'Solar Night The Vibrant Atmosphericsthe Dark Light Space', 'Sunburst In A Blue Sky', 'Colourful Celestial Orbit']",Planetary Parade,,5,3,4,3,4,4,Female,25,Gold,65b3891a452fcc01791e27cd,,FALSE,"It was fine I loved the exercise, I looked up all the words and discovered new things",COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Splinters In The Dark', 'Space Billiards']",Nebulous Serenity 7,Moon Bender,5,5,4,5,5,4,Male,42,Gold,640105daa923d3f5f2669039,,TRUE,Thanks! I would have liked to have more paintings to name :(,COM6LC8F,corner,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",different,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System', 'The Space Sundial', 'Solar Night The Vibrant Atmosphericsthe Dark Light Space', 'Sunburst In A Blue Sky', 'Colourful Celestial Orbit', 'Planetary Parade', 'Dance Of The Celestials']",Stars On Their Appointed Path,,5,6,6,4,4,3,Female,52,Gold,5db222231ff7b4000ab2cfc1,,FALSE,,COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System']",The Space Sundial,,5,5,5,6,6,5,Male,25,Gold,58f0c5123050380001608480,,FALSE,,COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System', 'The Space Sundial', 'Solar Night The Vibrant Atmosphericsthe Dark Light Space', 'Sunburst In A Blue Sky', 'Colourful Celestial Orbit', 'Planetary Parade']",Dance Of The Celestials,,5,3,2,6,6,6,Female,27,Gold,66a7776e424e265514efb740,,FALSE,"I enjoyed this study, such a creative way to connect art and AI. ",COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System', 'The Space Sundial']",Solar Night The Vibrant Atmosphericsthe Dark Light Space,,6,5,6,4,5,5,Female,52,Gold,5a56222f8e6259000175b271,,FALSE,"enjoyable survey, very different!",COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System']",The Space Sundial,,4,5,4,5,5,5,Male,30,Gold,5c8a2d11f7ab04001042af3c,,FALSE,Thank you for the interesting study. It was good fun.,COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Splinters In The Dark', 'Space Billiards', 'Nebulous Serenity 7', 'The Cross Section Of Our Solar System', 'Shattered Influx']",Celestial Kaleidoscope,,7,6,6,4,3,3,Other,20,Gold,666fdd0c4c0a51ecfa21efee,,TRUE,,COM6LC8F,corner,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",different,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Splinters In The Dark', 'Space Billiards', 'Nebulous Serenity 7', 'The Cross Section Of Our Solar System', 'Shattered Influx', 'Celestial Kaleidoscope']",Martian Canal Building Has Gotten Out Of Hand.,,5,5,4,4,3,2,Female,23,Space Grey,5ccb08a321e8d30016261cd8,,FALSE,,COM6LC8F,corner,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",different,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System']",The Space Sundial,,4,6,5,6,4,6,Male,24,Gold,63f7dc10de20707c3dff50b4,,FALSE,n/a,COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System']",The Space Sundial,,5,6,6,4,4,7,Female,52,Space Grey,59317bb14ecc2d0001e7e159,,FALSE,,COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Splinters In The Dark', 'Space Billiards', 'Nebulous Serenity 7', 'The Cross Section Of Our Solar System', 'Shattered Influx', 'Celestial Kaleidoscope', 'Martian Canal Building Has Gotten Out Of Hand.', 'The Celestial Clock']",Spacial Alignment,,5,5,4,4,5,3,Female,23,Gold,5ccf4c5db46c7000170d7f5a,,TRUE,,COM6LC8F,corner,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",different,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Sputnik Escape', 'Underscores Through Outer Space', 'Outer Space Fruits', 'Alien Solar System']",The Space Sundial,,4,3,3,3,4,5,Female,26,Gold,5e7897841fc50b000c787b94,,FALSE,,COM6LC8F,corner,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",similar,FALSE,TRUE,FALSE
"['Sputnik Fractal', 'Splinters In The Dark', 'Space Billiards', 'Nebulous Serenity 7', 'The Cross Section Of Our Solar System']",Shattered Influx,,3,3,6,5,4,4,Male,21,Gold,654a5ffd343306fd754a4e7d,,TRUE,,COM6LC8F,corner,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",different,FALSE,TRUE,FALSE
